Stud_Nr	Sex	Date	Energy kcal	Alcohol g	Caffeine mg	Water g	B1 Thiamine mg	B2 Riboflavin mg	B3 Niacin mg	B5 Pantothenic Acid mg	B6 Pyridoxine mg	B12 Cobalamin µg	Folate µg	Vitamin A µg	Vitamin C mg	Vitamin D IU	Vitamin E mg	Vitamin K µg	Calcium mg	Copper mg	Iron mg	Magnesium mg	Manganese mg	Phosphorus mg	Potassium mg	Selenium µg	Sodium mg	Zinc mg	Carbs g	Fiber g	Starch g	Sugars g	Added Sugars g	Net Carbs g	"Fat g"	Cholesterol mg	Mono-unsaturated g	Poly-unsaturated g	Saturated g	Trans-Fats g	Omega-3 g	Omega-6 g	Cystine g	Histidine g	Isoleucine g	Leucine g	Lysine g	Methionine g	Phenyl-alanine g	Protein g	Threonine g	Tryptophan g	Tyrosine g	Valine g	Completed	BMR kcal
1	female	2024-09-17	2026	0.0	171	2660	0.8	2.0	11	4.4	1.4	3.3	198	371	62	197	6.7	52		1.5	8.7	382	3.5	1136	2300	113	1760	8.6	218	36	30	84	12	181	92	109	28	9	32	1.3	1.5	7.5	0.6	1.3	2.3	4.3	3.6	1.4	2.4	101	2.3	0.7	1.9	3.0	FALSE
2	female	22.09.2024	1272	0.0	0	3273	0.9	1.3	26	6.2	1.7	5.8	545	314	76	360	5.6	7	202	0.6	9.5	161	1.2	773	2330	180	6371	5.1	134	18	52	55	3	113	53	698	22	8	11	0.0	1.0	6.7	1.0	1.7	3.2	5.4	5.1	1.9	3.0	70	2.9	0.8	2.3	3.7		1428
3	female	2024-09-17	2040	0.2	74	3780	1.5	2.1	14	6.5	1.9	3.8	442	726	59	183	15.8	56	899	1.8	12.7	375	5.9		3519	98	3012	9.3	298	40	112	131	19	254	57	348	14	19	16	0.2	0.6	17.2	1.2	1.5	2.8	4.7	3.7	1.3	3.0	93	2.8	0.7	2.1	3.3	FALSE	1499
4	female	17/9-24	2327	0.7	79	837	1.3	1.5	21	2.9	1.1	2.6	321	720	165	45	12.5	28	910	0.9	10.4	186	1.9	1108	1929	77	3132	8.1	193	15	74	57	29	172	141	499	44	19	63	2.4	1.7	16.7	0.5	0.8	1.6	2.8	2.2	0.7	1.6	81	1.4	0.9	1.2	1.8	FALSE	1484
5	female	2024-10-18		0.0	237	3391	1.6	1.4	12	5.1	1.5	0.0	725	250	94	0	4.6	141	439	1.7	19.2	347	6.7	1169	2926	61	3163	8.6	293	43	119	78	1	249	52	0	9	9	18	0.1	1.0	8.0	0.8	1.4	2.3	4.0	3.2	0.6	2.6	74	2.0	0.6	1.7	2.6	FALSE	1566
6	female	17/9/2024	1714	0.1	454	3660	1.1	2.9	16	8.0	1.3	1.1	410	1372	62	827	18.6	43	1966	1.8	13.4	392	4.2	1678	3021	210	4538	13.0	170	30	52	89	6	142	113	170	40	15	52	2.3	5.8	13.2	0.4	0.6	0.9	1.7	1.0	0.4	1.1	78	0.8	0.3	0.7	1.3	FALSE	1310
7	female	17/09/2024	1670	19.5	68	2446	1.5	1.6	19	5.7	1.7	2.1	320	300	37	66	20.0	43	634	1.6	9.7	275	6.7	1107	2126	91		7.7	237	28	103	71	24	207	49	261	16	10	17	0.3	0.8	9.4	0.8	1.2	2.0	3.6	2.6	1.0	2.3	63	1.6	0.6	1.7	2.7	FALSE	1330
8	female	9/18/2024	2592	0.0	146	3923	2.0	1.8	46	8.8	2.4	2.2	582	373	455	125	14.4	18	513	1.1	22.7	240	4.2	1207	2329	189	2137	8.9	341	28	227	35	5	311	73	581	20	33	15	0.5	0.8	24.7	1.9	3.3	5.9	9.1	8.3	3.1	5.3	135	4.8	1.4	4.3	6.2	FALSE
11	female	20/09/2024		0.0	75		1.0	1.0	8	4.2	1.1	0.6	342	260	275	47	6.3	210	272	0.9	7.9	238	4.0	642	3168	58	859	5.4	212	30	71	49	6	182	66	164	18	7	12	0.1	0.8	5.8	0.7	0.6	1.1	1.9	1.3	0.5	1.3	56	0.9	0.3	0.8	1.4		1353
12	female	18/09/24		0.0	1	4236	0.2	0.2	4	0.8	0.3	0.1	48	25	10	1	2.6	11	408	0.4	2.6	88	1.7	255	494	13	957	2.0	306	28	26	93	10	274	52	7	7	4	16	0.1	0.3	3.3	0.1	0.2	0.4	0.8	0.5	0.2	0.5	81	0.3	0.1	0.4	0.5	TRUE	1402
13	female	2024/9/17	1733	0.0	0	1939	2.7	2.6	7	11.8	2.6	4.5	760	1254	124	1370	13.6	91	1604	0.8	21.9	178	3.9	614	1157	111	1220	12.2	198	10	59	85	37	188	75	270	9	6	31	0.3	0.6	4.7	0.5	0.7	1.3	2.2	1.6	0.6	1.4	66	1.9	0.3	1.3	1.5	FALSE	1326
14	female	17.09.2024	1944	0.0	0	2467	1.6	1.0	22	4.3	1.6	0.6	306	640	61	8	6.7	157	460	1.1	11.3	367	6.8		2055	163	1853	8.2	236	24	169	24	1	211	79	95	17	21	34	0.4	2.1	18.7	1.7	2.4	4.4	7.8	6.0	2.0	4.2	97	3.9	1.5	2.9	4.8	FALSE	1429
15	female	18/9-2024	1496	0.0	0	381	1.6	0.9	6	2.6	0.9	0.3	337	1075	56	7	8.9	883	527	0.9	13.1	432	8.9	1005	2138	83	2973	5.4	280	32	78	82	2	248	35	32	5	7	7	0.2	1.9	5.7	0.8	0.8	1.4	2.6	1.8	0.6	1.8	53	1.3	0.7	1.3	1.8	FALSE	1489
16	female	2024-09-17	1614	47.0	142	2361	1.3	2.1	26	8.2	3.2	1.2	493	675	373	35	10.2	196	549	2.1	8.1	308	3.2	861	3300	75	2485	8.1	184	28	99	49	2	155	44	97	20	6	9	0.3	1.4	4.4	1.1	1.4	2.1	3.3	2.1	1.2	2.3	48	1.4	0.5	1.2	2.3	FALSE	1431
17	female	18/08/2024	1215	0.0	14	932	1.0	0.9	11	4.4	1.6	0.3	232	128	73	17	8.5	88	446	2.3	11.8	444	5.5	911	3178	38	1193	8.2	180	33	66	60	17	145	45	25	16	11	14	0.6	2.3	7.8	0.6	0.9	1.4	2.5	1.8	0.5	1.7	37	1.2	0.4	1.9	1.8
18	female	17/09/2024	1768	0.0	47	4188	1.3	2.2	19	4.8	1.7	5.8	882	942	178	356	17.5	284	1144	1.2	20.5	239	4.2	1239	2211	107	6480	5.3	213	25	125	56	17	188	77	133	36	20	15	0.3	1.9	17.8	1.5	1.7	2.7	4.9	3.9	1.4	3.2	66	2.5	0.8	2.2	3.2	FALSE	1359
19	female	17.09.2025	1451	0.3	0	2497	1.5	2.0	14	4.6	1.5	2.6	458	2411	93	108	7.0	116	882	1.0	12.4	259	3.3	1038	2618	103	4746	7.7	222	34	84	94	13	181	39	271	13	9	12	0.4	1.7	5.5	1.1	1.7	3.1	5.2	4.2	1.4	3.1	64	2.8	0.8	2.4	3.5	FALSE	1469
20	female	18/09/2024	2142	0.9	0	2220	1.7	1.4	21	3.5	2.0	1.2	487	246	108	13	3.3	63	669	1.8	17.8	285	5.3	995	2558	81	1781	9.2	262	41	93	99	13	221	104	92	10	9	70	0.4	0.9	6.4	0.9	1.5	2.5	4.9	3.9	1.2	2.5	74	2.9	0.7	1.7	2.8	FALSE	1406
