Stud_Nr	Sex	Date	Energy (kcal)	Alcohol (g)	Caffeine (mg)	Water (g)	B1 (Thiamine) (mg)	B2 (Riboflavin) (mg)	B3 (Niacin) (mg)	B5 (Pantothenic Acid) (mg)	B6 (Pyridoxine) (mg)	B12 (Cobalamin) (µg)	Folate (Âµg)	Vitamin A (µg)	Vitamin C (mg)	Vitamin D (IU)	Vitamin E (mg)	Vitamin K (µg)	Calcium (mg)	Copper (mg)	Iron (mg)	Magnesium (mg)	Manganese (mg)	Phosphorus (mg)	Potassium (mg)	Selenium (Âµg)	Sodium (mg)	Zinc (mg)	Carbs (g)	Fiber (g)	Starch (g)	Sugars (g)	Added Sugars (g)	Net Carbs (g)	"Fat (g)"	Cholesterol (mg)	Mono-unsaturated (g)	Poly-unsaturated (g)	Saturated (g)	Trans-Fats (g)	Omega-3 (g)	Omega-6 (g)	Cystine (g)	Histidine (g)	Isoleucine (g)	Leucine (g)	Lysine (g)	Methionine (g)	Phenyl-alanine (g)	Protein (g)	Threonine (g)	Tryptophan (g)	Tyrosine (g)	Valine (g)	Completed	BMR (kcal)
1	female	23/09/24	1.661	15,0	151	2933	1,3	1,8	20,7	6,0	2,1	4,8	301	1.912	89	223	8	73	902	2	11	465	5,6	1342	3414	70	1532	9	212	39	58	93	7	172	67	62	24	11	21	0,5	1,7	9,1	0,9	1,8	3,0	5,4	4,7	1,4	3,2	74	3	1	2	4		
2	female	23/09/24	1.683	0,0	35	2956	0,9	1,8	24,7	8,0	2,3	2,2	241	2.109	102	336	5	66	666	2	12	307	2,7	1173	3136	83	1059	9	140	26	39	60	5	112	66	373	17	14	34	0,7	4,6	7,5	0,8	1,2	2,0	3,6	3,0	1,0	2,1	72	2	1	1	2		1428
3	female	22/9-2024	2.364	2,7	72	2898	2,0	2,5	20,5	6,3	2,1	4,6	522	2.167	116	188	16	226	1.427	2	16	532	9,3	1853	3535	142	3460	14	324	42	137	128	42	280	76	152	21	18	27	0,8	1,3	15,4	1,3	2,2	3,8	6,6	4,8	1,7	4,1	106	3	1	3	4	FALSE	1499
4	female	23/09-24	2.206	12,4	6		1,0	2,3	3,4	4,4	4,1	3,3	380	381	49	53	2	13	698	0	10	169	1,4	766	1238	78	2507	5	220	13	55	51	6	205	67	187	13	4	29	1,3	0,4	3,5	0,6	1,4	2,4	3,4	3,2	1,2	2,2	79	2	1	2	2		1484
5	female	21/09/24	1.817	0,0	103	2479	1,9	1,2	9,4	4,8	1,5	255,0	661	232	72	30	6	107	445	2	19	373	6,7	1142	2699	54	1394	10	310	44	120	99	26	265	43	24	10	13	12	0,2	1,3	11,4	0,9	1,5	2,5	4,4	3,4	0,7	2,9	67	2	1	2	3		1566
6	female	21/09/2024	1.683	0,0	196	2952	0,8	1,4	15,8	4,1	1,3	4,4	247	2.076	117	644	9	189	565	1	7	227	2,5	900	1849	75	1229	8	198	21	62	77	23	176	74	279	24	15	26	1,0	2,9	11,4	0,8	1,7	2,7	4,7	3,9	1,3	2,6	67	2	1	2	3	FALSE	1310
7	female	2024-09-22	2.107	14,4	139	2853	1,4	1,7	17,8	5,3	1,3	3,1	434	543	35	100	12	50	688	2	12	320	4,4	1199	2488	201	2056	10	254	30	107	76	16	222	80	349	27	16	25	0,4	1,0	14,0	1,0	1,6	2,6	4,7	3,7	1,3	3,0	81	2	1	2	3		1330
8	female	23/09/2024	1.860	0,0	38	3059	1,6	1,0	31,5	5,3	1,9	2,7	500	322	28	46	16	42	358	1	15	199	3,8	913	1362	129	1244	10	233	11	178	15	31	221	62	267	17	27	13	0,9	0,6	25,6	1,2	2,4	4,0	6,5	5,9	2,1	1,9	86	3	1	3	4	FALSE	
10	female	23-09-24	794	0,0	246	1282	0,5	1,0	8,7	2,4	0,7	0,7	157	381	137	33	3	508	627	1	6	135	2,3	390	1143	31	980	3	111	17	26	48	6	92	27	118	7	4	9	0,1	1,2	3,1	0,4	0,8	1,2	1,9	1,6	0,6	1,1	32	1	0	1	1		
11	female	22/09/2024	1.923	0,0	113	2457	1,6	1,3	16,0	5,5	1,8	100,7	702	313	343	3.085	11	396	609	2	39	458	5,6	1164	3567	136	1596	10	261	54	90	94	18	206	68	164	31	16	11	0,1	0,9	14,3	0,9	1,3	2,1	3,8	2,6	0,9	2,6	56	2	1	2	3		1353
12	female	21/09/2024	1.845	0,0	48	1996	1,9	2,3	29,9	8,7	2,5	4,5	482	988	42	1.045	5	43	703	1	8	225	3,0	808	1862	60	1998	7	236	25	59	94	17	208	71	138	14	5	30	0,7	0,3	4,3	0,6	1,3	1,9	3,4	2,8	0,9	2,0	79	2	1	2	2	FALSE	1402
13	female	23/09/2024	1.662	0,0	1	1710	2,3	2,5	8,5	11,7	2,8	5,3	579	1.182	214	1.345	17	31	1.391	1	21	165	1,2	597	1717	125	2544	12	217	15	23	65	10	201	59	424	9	7	22	0,5	0,9	5,2	0,6	0,9	1,6	2,8	2,6	0,9	1,6	70	1	0	1	2	FALSE	1326
16	female	23/09	1.714	12,1	166	2361	1,3	1,3	12,6	4,5	1,5		341	422	56	44	7	120			12	303	3,5	891	2298	51	2349	6	174	29	95	36	5	144	85	31	23	22	17	0,5	3,3	18,5	1,0	1,4	2,2	3,5	2,5		2,3	52	2	1	1	2	FALSE	
17	female	23/09/2024	2.089	2,6	50	3897	1,5	2,2	14,2	5,5	2,0	3,1	512	905	52	157	7	96	1.196	2	14	375	4,5	1435	2864	11	293	36	167	77	31	256	75	211	23	17	26	1	2	13,8	0,9	1,5	2,6	4,5	3,2	1,1	2,9	0,8	2,2	70	2	3	2	2		1419
18	female		1.761	0,2	68	2822	1,8	1,7	15,6	4,1	1,9	3,0	415	1.319	141	67	11	92	859	1	11	272	4,6	1151	2458	107	2439	7	222	28	103	64	12	193	73	211	26	15	21	0,6	1,3	12,6	0,8	1,3	2,4	4,3	2,9	1,1	2,5	69	2	1	2	3	FALSE	1359
19	female	22/09/24	1.646	0,1	31	2589	1,2	1,6	15,4	3,9	1,4	1,8	384	1.168	199	92	10	104	670	1	12	305	3,4	969	2276	87	6841	7	213	30	72	82	19	179	67	320	23	14	22	0,9	2,2	10,9	0,8	1,4	2,4	4,0	3,1	1,1	2,5	60	2	1	2	7	FALSE	1469
20	female	21/09/24	2.214	0,4	159	2470	2,4	2,6	22,2	5,0	1,2	3,4	543	819	54	255	5	97	1.076	1	17	336	5,2	1312	2661	131	3018	9	351	29	163	110	39	320	56	160	11	9	21	0,5	0,7	8,2	1,3	1,7	2,8	5,1	3,8	1,3	3,2	82	2	1	2	3	TRUE	1406
22	female	23/09/2024	2.925	0,5	0	2790	1,7	2,2	50,2	6,9	3,6	3,1	498	1.274	120	58	8	150	1.240	2	18	422	4,6	1938	3331	207	5167	14	336	31	161	108	18	303	100	448	32	11	46	2,3	1,3	8,2	2,3	4,8	8,1	12,7	12,1	3,9	7,0	175	7	2	5	8		
23	female	22/09/24	1.988	0,1	10	3818	1,4	1,9	13,6	4,1	1,4	2,8	333	1.238	76	118	9	108	951	1	11	286	3,9	1151	2947	80	3406	8	245	24	82	71	20	219	80	166	25	12	28	1,0	1,2	9,3	1,0	1,7	3,0	5,4	4,7	1,4	2,9	81	3	1	2	3	FALSE	1478
24	female	22/09/2024	1.641	0,0	237	2198	1,1	1,2	9,4	3,9	1,0	0,7	293	574	51	70	8	28	514	1	11	236	4,3	614	2032	35	2409	5	251	41	81	48	7	210	50	41	10	9	11	0,0	0,5	8,5	0,5	0,8	1,3	2,3	1,6	0,5	1,6	59	1	0	1	1	FALSE	
29	female	23/9-24	2.211	10,5	417	4450	1,6	2,9	17,7	7,9	2,6	3,4	888	2.420	142	214	15	358	1.219	2	25	471	5,1	1426	4634	77	2945	11	249	39	97	78	20	209	100	118	31	15	42	1,2	1,5	12,9	0,9	1,6	2,7	4,8	3,6	1,2	2,9	79	3	1	2	3		
30	female	22.09.2024	1.569	0,1	79	2726	1,0	1,3	15,7	3,7	1,3	2,7	240	1.101	55	144	7	75	610	1	9	220	3,0	991	2225	83	1634	7	176	21	62	69	15	154	52	312	14	11	19	0,6	1,3	7,3	45,6	1,6	45,4	5,4	4,7	1,5	2,8	104	3	45	2	3	FALSE	1338
32	female	23/09	2.006	0,0	0	1376	1,4	2,0	19,6	7,2	1,9	3,1	292	1.037	85	70	4	30	749	0	7	86	0,7	343	1065	19	2869	2	219	29	22	77	189	96	61	12	5	33	0	0,2	2,2	0,2	0,2	0,4	0,7	0,4	0,2	0,4	86,7	0	0	0	1	0		1295
36	female	2024-09-22	1.402	20,2	284	3792	1,0	1,3	9,9	4,0	1,2	0,1	418	918	65	8	8	163	348	1	10	294	3,7	656	2602	40	1922	5	159	28	60	56	5	129	62	20	23	14	16	0,4	8,2	11,7	0,5	0,8	1,2	4,2	1,4	0,5	1,4	34	1	0	1	1	FALSE	1351
38	female	21-09-2024	1.979	0,0	18	1561	1,6	1,5	18,2	45,4	1,3	1,7	396	664	34	141	6	60	865		13	250	4,6	867	2485	89	527	7	298	27	117	94	19	268	61	140	9	6	23	0,5	0,6	5,2	0,7	1,1	1,8	3,1	2,1	0,8	2,1	70	2	1	1	2,11	FALSE	1320
39	female	01/10/2024	2.407	14,7	190	4149	1,6	3,2	25,3	6,5	1,9	84,4	410	983	151	224	19	70	1.013	9	37	461	8,1	2043	4301	531	2509	95	304	23	125	135	64	281	77	458	26	15	27	1,0	6,1	8,3	1,5	2,5	4,7	8,1	7,6	2,4	4,4	109	4	1	4	5	FALSE	1540
42	female	23.09.2024	2.279	0,0	74	3631	2,0	31,7	7,7	2,1	3,3	5,5	572	602	23	137	6	78	1.395		29	468	12,7	2603	1603	167	1090	4	269	20	76	16	3	170	50	186	27	19	1	1,1	21,3	1,5	2,5	4,4	7,2	6,1	2,3	4,2	10,1	70	1	3	5	5		
43	Female	2024-09-21	1.488	9,5	82	2417	1,3	1,6	15,7	4,8	1,2	2,2	279	627	59	45	7	37	868	2	9	312	3,2	1221	2673	66	2295	7	167	25	60	7	11	140	61	95	22	9	21	0,8	1,0	7,8	0,9	1,6	2,8	5,2	4,5	1,2	2,8	69	3	1	2	3	FALSE	1354
45	female	22/09/2024	2.280	8,7	260	3229	1,4	2,1	27,1	4,9	2,6	3,8	577	1.903	187	486	12	236	757	2	19	544	5,4	1543	5013	100	1700	12	272	43	85	108	18	228	97	401	29	13	38	0,8	2,4	9,4	0,9	1,8	2,6	4,6	3,9	1,2	2,9	88	2	1	2	3	#DIV/0!	1354
66	female	22/09/2024	2.016	0,1	90	3168	1,1	1,5	23,3	4,7	2,2	3,1	427	644	172	143	15	210	777	2	14	375	4,8	1252	3244	121	17370	9	247	27	116	77	27	218	84	137	46	15	18	0,5	1,7	13,1	1,0	2,0	3,3	5,7	4,8	1,6	3,4	80	3	1	2	4	FALSE	1575
