Stud_Nr	Sex	Date	Energy (kcal)	Alcohol (g)	Caffeine (mg)	Water (g)	B1 (Thiamine) (mg)	B2 (Riboflavin) (mg)	B3 (Niacin) (mg)	B5 (Pantothenic Acid) (mg)	B6 (Pyridoxine) (mg)	B12 (Cobalamin) (µg)	Folate (µg)	Vitamin A (µg)	Vitamin C (mg)	Vitamin D (IU)	Vitamin E (mg)	Vitamin K (Âµg)	Calcium (mg)	Copper (mg)	Iron (mg)	Magnesium (mg)	Manganese (mg)	Phosphorus (mg)	Potassium (mg)	Selenium (µg)	Sodium (mg)	Zinc (mg)	Carbs (g)	Fiber (g)	Starch (g)	Sugars (g)	Added Sugars (g)	Net Carbs (g)	Fat (g)	Cholesterol (mg)	Mono-unsaturated (g)	Poly-unsaturated (g)	Saturated (g)	Trans-Fats (g)	Omega-3 (g)	Omega-6 (g)	Cystine (g)	Histidine (g)	Isoleucine (g)	Leucine (g)	Lysine (g)	Methionine (g)	Phenyl-alanine (g)	Protein (g)	Threonine (g)	Tryptophan (g)	Tyrosine (g)	Valine (g)	Completed	BMR (kcal)
34	female	18.09.2024	2323.87	4.98	108.43	2360.93	2.36	1.98	24.51	6.38	2.14	3.92	640.10	1551.26	145.41	192.10	9.95	190.65	902.56	1.89	16.39	427.53	7.17	1582.68	3624.93	169.60	156416.0	12.78	327.06	35.40	150.52	111.83	28.98	289.49	69.32	234.28	45313.0	11.67	24.40	0.97	1.67	9.37	1.52	2.47	4.19	7.52	45449.0	45445.0	4.15	102.54	3.82	1.24	45599.0	4.82	FALSE	1524.0
3	female	18.09.2024	1994.61	0.11	86.85	3538.57	1.54	2.1	24.72	6.1	2.0	6.22	407.07	1715.85	175.73	627.15	10.88	140.9	1231.19	2.0	13.83	500.45	7.1	1813.0	3642.23	150.9	1745.85	12.58	271.74	41.19	119.38	97.99	13.76	224.32	64.36	172.16	19.39	16.26	21.82	1.26	2.45	12.13	1.61	2.47	4.26	7.48	6.43	2.1	4.31	94.71	3.65	1.1	3.25	5.0	FALSE	1498.5
4	female	18.09.2024	1636.14	5.30	5.20	963.19	1.25	1.89	21.96	4.42	1.62	3.74	350.12	t	135.19	173.29	45542.0	125.90	961.80	0.85	11.30	211.26	2.74	1087.70	2199.29	104.70	1844.17	9.93	191.36	18.83	72.27	70.21	45472.0	170.23	60.18	287.40	15.72	9.62	24.51	1.26	0.73	7.77	0.84	1.79	2.87	4.88	4.13	1.43	2.81	81.54	2.61	0.80	2.21	3.27	FALSE	
15	female	18.09.2024	-307958.0	11.34	4.58	465.97	0.82	0.89	45613.0	3.27	1.29	5.60	237.55	594.12	34.95	25.28	8.23	303.86	410.63	0.78	7.69	201.58	1.84	707.91	1696.24	72.50	1339.85	5.17	90.83	13.56	39.57	22.17	45571.0	76.91	47.17	126.07	18.19	8.27	15.40	0.57	1.44	6.37	0.42	0.96	1.51	2.60	2.35	0.76	1.48	53.13	1.39	0.42	1.18	1.72		
66	female	18.09.2024	1911.45	0.0	210.0	2838.41	1.16	1.62	45437	4.36	45384	3.35	357.49	463.59	50.55	123.4	13.94	246.84	689.94	0.95	45423.0	258.14	3.39	-272014.0	1989.19	109.78	8198.72	45392.0	172.94	19.23	82.83	57.29	151.15	98.4	291.72	59.45	12.13	45312.0	0.76	45292.0	10.84	1.18	2.58	3.94	6.85	6.54	45598.0	3.75	90.21	3.48	45323.0	45325.0	4.37	FALSE		
22	female	18.09.2024	2593.67	0.0	2.53	2236.97	2.78	4.34	46.97	6.84	5.29	3.78	3287.88	7500.95	492.92	53.87	37.87	2007406.0	151332.0	3.17	53.73	-153734.0	16.35	102117.0	11017.76	163.53	753617.0	20.87	269.46	52.91	126.85	57.07	26.16	215.72	109.97	371.32	32.1	24.35	42.21	1.44	4.19	17.43	1.94	3.97	7.14	45362.0	10.0	3.24	6.53	158.6	5.84	1.84	5.23	7.76	FALSE	
33	male	18.09.2024	2405.79	45654.0	0.00	3376.49	0.99	3.17	42.99	8.00	3.80	16.15	380.18	1155.87	29.17	370.84	45542.0	402.34	418.42	0.65	45403.0	242.59	45323.0	1956.62	498955.0	235.75	2002.13	32.23	64.78	3.75	0.55	33.67	25.62	60.86	126.72	1591.91	51.00	13.23	46.97	2.99	0.90	11.18	2.55	6.32	9.18	45642.0	16.46	5.28	8.22	198.83	8.48	1.86	6.84	10.15	FALSE	1846.0
26	male	18.09.2024	1774.39	12.81	3.13	948.36	1.0	1.66	22.96	4.73	2.00	6.25	263.06	679.50	56.40	214.29	5.36	91.56	728.60	0.99	10.82	252.07	2.55	1348.56	2315.13	157.62	1237.62	14.75	191.98	14.62	106.02	48.00	18.62	177.07	59.19	320.88	21.66	7.85	23.96	1.65	0.89	6.29	1.17	2.72	4.20	7.31	6.48	2.15	45386.0	96.75	3.70	0.97	45415.0	4.78	FALSE	1861.0
31	Female 	18.09.2024	2643.29	0.35	248.78	1966.45	1.39	1.87	45585.0	5.43	1.68	5.45	275.96	1765.70	67.98	120.27	7.18	91.48	1166.32	1.55	45549.0	373.36	4.52	1584.19	3065.31	133.29	43891.0	45577.0	293.93	26.79	109.76	127.65	66.67	265.21	111.42	181.34	31.38	12.95	45.96	45293.0	1.46	9.94	1.85	2.75	5.47	9.76	8.34	2.36	4.61	122.29	45356.0	1.86	3.56	5.93	FALSE	1400.0
1	Female	18.09.2024	2001.96	0.53	158.60	3098.34	45293.0	2.27	18.99	6.15	1.95	3.62	408.44	1260.36	165.61	279.86	12.76	117.02	945.54	1.72	13.43	448.34	3.94	1623.47	3736.70	147.63	2414.23	45300.0	250.86	41.11	84.27	112.58	14.63	206.53	84.84	282.03	41.39	11.75	23.95	0.66	45444.0	10.21	45292.0	1.81	45385.0	5.65	4.48	1.41	3.28	77.82	2.77	0.85	2.38	3.68	3.68	1593.0
